Country,Doctors_Per_10k,Births_Attended_By_Skilled_Personnel,Maternal_Mortality_Rate
Albania,18.83,100.00,18.39
Albania,18.83,100.00,18.39
Albania,18.83,99.80,18.39
Albania,18.83,99.30,18.39
Albania,18.83,98.00,18.39
Albania,18.83,99.10,18.39
Albania,18.83,100.00,29.07
Albania,18.83,99.10,27.67
Albania,18.83,98.00,27.67
Albania,18.83,99.80,27.67
Albania,18.83,99.30,27.67
Albania,18.83,99.80,27.67
Albania,18.83,100.00,27.67
Albania,18.83,100.00,27.67
Albania,18.83,100.00,27.67
Albania,18.83,99.10,29.07
Albania,18.83,98.00,29.07
Albania,18.83,99.80,29.07
Albania,18.83,99.30,29.07
Albania,18.83,99.80,29.07
Albania,18.83,100.00,29.07
Albania,18.83,100.00,29.07
Albania,18.83,98.00,39.20
Albania,18.83,100.00,36.73
Albania,18.83,99.10,36.73
Albania,18.83,99.80,39.20
Albania,18.83,99.30,39.20
Albania,18.83,99.80,39.20
Albania,18.83,100.00,39.20
Albania,18.83,100.00,39.20
Albania,18.83,100.00,39.20
Albania,18.83,98.00,36.73
Albania,18.83,99.80,36.73
Albania,18.83,99.30,36.73
Albania,18.83,99.80,36.73
Albania,18.83,100.00,36.73
Albania,18.83,99.10,39.20
Albania,18.83,100.00,36.73
Albania,18.83,99.10,32.87
Albania,18.83,98.00,32.87
Albania,18.83,99.80,32.87
Albania,18.83,99.30,32.87
Albania,18.83,99.80,32.87
Albania,18.83,100.00,32.87
Albania,18.83,100.00,32.87
Albania,18.83,100.00,32.87
Albania,18.83,99.10,34.94
Albania,18.83,98.00,34.94
Albania,18.83,99.80,34.94
Albania,18.83,99.30,34.94
Albania,18.83,99.80,34.94
Albania,18.83,100.00,34.94
Albania,18.83,100.00,34.94
Albania,18.83,100.00,34.94
Albania,18.83,100.00,22.03
Albania,18.83,100.00,22.03
Albania,18.83,100.00,22.03
Albania,18.83,99.80,22.03
Albania,18.83,99.30,22.03
Albania,18.83,99.80,22.03
Albania,18.83,98.00,22.03
Albania,18.83,99.10,22.03
Albania,18.83,100.00,24.24
Albania,18.83,100.00,24.24
Albania,18.83,100.00,24.24
Albania,18.83,99.80,24.24
Albania,18.83,99.30,24.24
Albania,18.83,99.80,24.24
Albania,18.83,98.00,24.24
Albania,18.83,99.10,24.24
Algeria,9.87,96.60,202.64
Algeria,9.87,98.80,202.64
Algeria,9.87,95.20,202.64
Algeria,9.87,98.80,203.83
Algeria,9.87,96.60,203.83
Algeria,9.87,95.20,203.83
Algeria,9.87,98.80,180.90
Algeria,9.87,98.80,192.43
Algeria,9.87,96.60,192.43
Algeria,9.87,95.20,192.43
